order_id,customer_id,restaurant_id,cost,rating,food_preparation_time,delivery_time,total_time,delivery_delay,distance_km,order_hour,time_of_day,peak_hour_flag,traffic_level,delay_category,day_of_the_week,sentiment,sentiment_score,latitude,longitude
1000042,586,3255,799.0,4.4,31,59,90,14,10.35,16,Evening,0,High,Slightly Delayed,Weekday,Positive,0.8500000000000001,12.858597,77.662813
1000043,794,3255,334.88,4.9,31,14,45,-7,4.12,13,Afternoon,1,Low,Early,Weekday,Positive,0.975,13.07733,77.536782
1000044,944,789,359.0,4.0,12,10,22,-2,1.89,12,Afternoon,0,Low,On Time,Weekday,Positive,0.75,12.914695,77.468607
1000045,835,4651,160.0,2.8,44,90,134,30,14.29,10,Morning,0,High,Heavily Delayed,Weekday,Negative,0.4499999999999999,13.015631,77.707423
1000046,76,1271,296.61,4.7,25,27,52,4,4.65,19,Evening,1,High,On Time,Weekday,Positive,0.925,12.927928,77.544109
1000047,471,3749,19.05,4.4,27,46,73,3,9.94,12,Afternoon,0,Medium,On Time,Weekday,Positive,0.8500000000000001,12.980017,77.508714
1000048,504,4344,478.0,4.0,22,98,120,44,12.6,13,Afternoon,1,Jam,Heavily Delayed,Weekend,Positive,0.75,12.986678,77.604819
1000049,362,4516,101.0,3.9,31,27,58,2,5.2,21,Night,1,Medium,On Time,Weekend,Neutral,0.725,12.896214,77.723068
1000050,506,2624,409.0,3.3,18,54,72,11,9.9,16,Evening,0,Medium,Slightly Delayed,Weekday,Neutral,0.575,13.092396,77.463064
1000051,964,4757,435.0,3.5,15,13,28,-1,2.51,8,Morning,0,Low,On Time,Weekday,Neutral,0.625,13.043783,77.679741
1000052,17,4757,249.0,4.6,18,79,97,18,14.58,22,Night,0,High,Heavily Delayed,Weekday,Positive,0.8999999999999999,13.084875,77.621742
1000053,314,3056,159.0,4.3,27,10,37,-2,1.81,17,Evening,0,Low,On Time,Weekday,Positive,0.825,13.073707,77.577635
1000054,529,4508,429.0,4.2,42,38,80,6,7.13,12,Afternoon,0,High,Slightly Delayed,Weekday,Positive,0.8,12.999475,77.673224
1000055,428,4445,100.0,4.5,31,37,68,-1,8.52,11,Afternoon,0,Medium,On Time,Weekday,Positive,0.875,13.080469,77.739747
1000056,819,2807,239.0,4.6,42,94,136,42,12.07,8,Morning,0,Jam,Heavily Delayed,Weekday,Positive,0.8999999999999999,12.872123,77.518762
1000057,162,4313,2100.0,4.8,38,20,58,5,2.7,9,Morning,0,High,On Time,Weekday,Positive,0.95,12.898996,77.493094
1000058,99,4495,160.0,4.3,25,29,54,-3,7.17,20,Night,1,Medium,On Time,Weekday,Positive,0.825,12.861307,77.723865
1000059,85,1659,199.0,4.9,13,29,42,4,5.2,10,Morning,0,High,On Time,Weekend,Positive,0.975,12.931333,77.650686
1000060,197,4429,190.0,4.6,19,33,52,8,5.37,20,Night,1,High,Slightly Delayed,Weekday,Positive,0.8999999999999999,12.947169,77.581396
1000061,919,4940,509.0,3.4,41,78,119,27,11.9,9,Morning,0,High,Heavily Delayed,Weekend,Neutral,0.6,12.917837,77.621978
1000062,853,1105,280.0,4.8,41,10,51,1,1.08,16,Evening,0,Low,On Time,Weekday,Positive,0.95,13.057184,77.673684
1000063,558,3804,142.0,4.4,23,64,87,15,11.49,23,Night,0,High,Slightly Delayed,Weekend,Positive,0.8500000000000001,12.939188,77.68191
1000064,926,4340,102.0,2.5,29,105,134,52,12.35,18,Evening,0,Jam,Heavily Delayed,Weekend,Negative,0.375,12.920234,77.725968
1000065,878,3351,133.0,4.2,27,72,99,14,13.62,21,Night,1,High,Slightly Delayed,Weekday,Positive,0.8,12.985674,77.578053
1000066,284,4728,180.0,4.6,12,45,57,2,9.78,16,Evening,0,Medium,On Time,Weekend,Positive,0.8999999999999999,12.885231,77.538023
1000067,132,3804,91.42,4.0,15,25,40,-2,5.67,19,Evening,1,Medium,On Time,Weekday,Positive,0.75,13.050549,77.641899
1000068,370,4382,129.0,3.8,27,31,58,-1,6.98,17,Evening,0,Medium,On Time,Weekday,Neutral,0.7,12.868638,77.574718
1000069,768,3718,247.0,4.4,41,60,101,-1,14.58,12,Afternoon,0,Medium,On Time,Weekday,Positive,0.8500000000000001,13.096722,77.62838
1000070,522,3255,115.0,4.3,18,75,93,18,13.34,19,Evening,1,High,Heavily Delayed,Weekend,Positive,0.825,13.043061,77.575996
1000071,134,3255,119.0,4.1,35,33,68,-1,7.49,19,Evening,1,Medium,On Time,Weekday,Positive,0.7749999999999999,12.899679,77.495899
1000072,715,3804,411.43,4.1,28,78,106,18,14.2,18,Evening,0,High,Heavily Delayed,Weekday,Positive,0.7749999999999999,12.851381,77.590828
1000073,306,2934,260.0,3.3,15,60,75,7,12.52,10,Morning,0,Medium,Slightly Delayed,Weekday,Neutral,0.575,13.053865,77.657275
1000074,81,70,159.0,4.5,11,75,86,17,13.62,21,Night,1,High,Heavily Delayed,Weekday,Positive,0.875,13.026714,77.689785
1000075,517,2624,109.0,2.3,37,89,126,43,10.56,15,Afternoon,0,Jam,Heavily Delayed,Weekday,Negative,0.3249999999999999,13.032252,77.597998
1000076,33,4504,79.0,4.3,29,73,102,18,13.01,19,Evening,1,High,Heavily Delayed,Weekday,Positive,0.825,13.042818,77.499571
1000077,725,3804,179.0,4.1,23,73,96,16,13.48,21,Night,1,High,Heavily Delayed,Weekday,Positive,0.7749999999999999,12.868511,77.574406
1000078,407,4782,15.0,2.7,42,29,71,16,2.29,8,Morning,0,Low,Heavily Delayed,Weekday,Negative,0.425,12.939616,77.685888
1000079,92,75,169.0,3.2,13,128,141,67,14.51,17,Evening,0,Jam,Heavily Delayed,Weekday,Neutral,0.55,12.878967,77.573858
1000080,795,3998,75.0,4.4,37,34,71,7,5.67,11,Afternoon,0,High,Slightly Delayed,Weekday,Positive,0.8500000000000001,13.065776,77.658959
1000081,808,3255,748.57,4.2,39,37,76,5,7.16,20,Night,1,Medium,On Time,Weekday,Positive,0.8,13.005825,77.602164
1000082,508,4247,85.0,4.3,27,97,124,45,12.09,23,Night,0,Jam,Heavily Delayed,Weekday,Positive,0.825,12.932725,77.522367
1000083,283,4641,150.0,4.7,18,45,63,0,10.31,22,Night,0,Medium,On Time,Weekday,Positive,0.925,12.86589,77.688845
1000084,529,3056,318.0,5.0,16,55,71,-2,13.5,9,Morning,0,Medium,On Time,Weekday,Positive,1.0,12.927746,77.475264
1000085,801,3804,110.0,4.5,24,29,53,-1,6.61,13,Afternoon,1,Medium,On Time,Weekday,Positive,0.875,12.931296,77.607467
1000086,310,4757,189.0,3.2,36,48,84,19,6.23,22,Night,0,Medium,Heavily Delayed,Weekend,Neutral,0.55,13.032402,77.512667
1000087,205,4788,480.0,2.6,14,17,31,7,1.44,17,Evening,0,Medium,Slightly Delayed,Weekend,Negative,0.4,13.009389,77.47012
1000088,216,3804,139.0,4.5,14,33,47,-1,7.48,22,Night,0,Medium,On Time,Weekend,Positive,0.875,13.071803,77.60088
1000089,717,3255,449.0,5.0,31,86,117,38,11.14,20,Night,1,Jam,Heavily Delayed,Weekday,Positive,1.0,12.968054,77.599869
1000090,142,4757,109.0,4.1,32,32,64,7,5.22,23,Night,0,High,Slightly Delayed,Weekday,Positive,0.7749999999999999,12.879899,77.66207
1000091,520,4861,339.0,2.9,22,49,71,15,7.48,18,Evening,0,Medium,Slightly Delayed,Weekday,Negative,0.475,13.028311,77.673425
1000092,922,4035,325.0,4.4,15,22,37,2,4.07,15,Afternoon,0,Medium,On Time,Weekend,Positive,0.8500000000000001,13.040196,77.668337
1000093,965,3718,249.0,4.4,43,67,110,16,11.82,14,Afternoon,1,High,Heavily Delayed,Weekday,Positive,0.8500000000000001,12.990319,77.572868
1000094,402,3255,319.0,2.9,11,29,40,17,1.85,20,Night,1,Low,Heavily Delayed,Weekend,Negative,0.475,13.042742,77.639507
1000095,517,2554,279.0,4.3,18,58,76,11,10.88,22,Night,0,High,Slightly Delayed,Weekend,Positive,0.825,12.973449,77.623084
1000096,617,2278,199.0,2.0,31,61,92,32,6.31,22,Night,0,Jam,Heavily Delayed,Weekend,Negative,0.25,12.980683,77.576469
1000097,762,3255,139.05,4.6,35,11,46,0,1.58,14,Afternoon,1,Low,On Time,Weekday,Positive,0.8999999999999999,12.956885,77.629164
1000098,587,4050,525.0,4.9,29,71,100,16,12.95,22,Night,0,High,Heavily Delayed,Weekday,Positive,0.975,12.856355,77.734174
1000099,314,4563,65.0,4.9,19,31,50,-4,7.83,18,Evening,0,Low,On Time,Weekday,Positive,0.975,12.876973,77.507868
1000100,630,4713,439.0,4.5,30,52,82,11,9.39,10,Morning,0,High,Slightly Delayed,Weekday,Positive,0.875,12.857857,77.721732
1000101,388,4688,249.0,4.0,20,85,105,37,11.25,17,Evening,0,Jam,Heavily Delayed,Weekend,Positive,0.75,13.009103,77.466037
1000102,827,3804,210.47,4.8,30,78,108,34,10.17,18,Evening,0,Jam,Heavily Delayed,Weekend,Positive,0.95,12.928589,77.542517
1000103,95,75,256.17,5.0,27,47,74,-1,11.23,9,Morning,0,Medium,On Time,Weekday,Positive,1.0,12.977143,77.536444
1000104,517,4727,80.0,4.3,11,96,107,46,11.67,16,Evening,0,Jam,Heavily Delayed,Weekday,Positive,0.825,13.076892,77.63791
1000105,871,3804,23.0,4.8,38,35,73,-6,9.25,12,Afternoon,0,Low,Early,Weekend,Positive,0.95,12.912323,77.489367
1000106,236,4890,310.0,4.2,31,27,58,-1,6.12,12,Afternoon,0,Medium,On Time,Weekday,Positive,0.8,12.952596,77.714704
1000107,366,4667,115.0,4.9,25,21,46,-1,4.4,18,Evening,0,Medium,On Time,Weekend,Positive,0.975,13.038888,77.698565
1000108,600,3255,155.68,4.4,33,104,137,46,13.64,15,Afternoon,0,Jam,Heavily Delayed,Weekend,Positive,0.8500000000000001,12.9072,77.64562
1000109,689,3528,280.0,2.0,11,125,136,64,14.58,10,Morning,0,Jam,Heavily Delayed,Weekday,Negative,0.25,12.869245,77.587524
1000110,253,2624,209.0,2.8,40,44,84,16,6.01,16,Evening,0,High,Heavily Delayed,Weekday,Negative,0.4499999999999999,12.922438,77.729887
1000111,609,3103,70.0,3.4,35,30,65,15,2.57,23,Night,0,High,Slightly Delayed,Weekend,Neutral,0.6,12.890305,77.699224
1000112,497,3255,169.0,4.1,16,16,32,-5,4.12,13,Afternoon,1,Low,On Time,Weekend,Positive,0.7749999999999999,13.082424,77.599795
1000113,585,3255,119.0,3.6,27,86,113,41,10.39,16,Evening,0,Jam,Heavily Delayed,Weekday,Neutral,0.65,13.05203,77.660562
1000114,284,3804,498.0,5.0,36,16,52,-2,3.42,22,Night,0,Low,On Time,Weekday,Positive,1.0,13.008351,77.620079
1000115,437,3255,419.0,3.5,39,66,105,15,11.92,15,Afternoon,0,High,Slightly Delayed,Weekday,Neutral,0.625,13.067865,77.626383
1000116,649,3856,139.0,4.4,19,59,78,0,13.92,13,Afternoon,1,Medium,On Time,Weekday,Positive,0.8500000000000001,13.050918,77.549293
1000117,118,3856,149.0,4.8,40,111,151,50,14.49,17,Evening,0,Jam,Heavily Delayed,Weekday,Positive,0.95,12.896643,77.588625
1000118,906,4484,120.0,4.8,25,12,37,3,1.13,13,Afternoon,1,High,On Time,Weekend,Positive,0.95,13.07314,77.473436
1000119,389,3255,319.0,2.3,28,68,96,7,14.41,19,Evening,1,Medium,Slightly Delayed,Weekday,Negative,0.3249999999999999,12.984836,77.557205
1000120,240,4035,325.0,3.7,42,63,105,14,11.36,13,Afternoon,1,High,Slightly Delayed,Weekday,Neutral,0.675,13.05186,77.658749
1000121,958,4714,28.76,3.8,15,10,25,-3,2.18,14,Afternoon,1,Low,On Time,Weekday,Neutral,0.7,13.074023,77.735965
1000122,846,3612,65.62,3.7,25,33,58,2,6.81,8,Morning,0,Medium,On Time,Weekday,Neutral,0.675,12.929501,77.738919
1000123,92,4713,349.0,4.0,13,56,69,9,10.8,16,Evening,0,High,Slightly Delayed,Weekday,Positive,0.75,12.877513,77.616717
1000124,641,4675,230.0,4.1,18,59,77,-2,14.39,12,Afternoon,0,Medium,On Time,Weekend,Positive,0.7749999999999999,12.906984,77.631987
1000125,9,3804,285.71,4.0,34,16,50,-1,3.3,23,Night,0,Low,On Time,Weekend,Positive,0.75,12.956777,77.505716
1000126,356,4752,145.0,5.0,32,15,47,0,2.79,20,Night,1,Medium,On Time,Weekday,Positive,1.0,13.054504,77.658592
1000127,456,3627,200.0,4.8,13,25,38,-9,7.61,8,Morning,0,Low,Early,Weekday,Positive,0.95,13.065183,77.471198
1000128,92,4757,298.0,4.5,14,81,95,20,14.55,16,Evening,0,High,Heavily Delayed,Weekday,Positive,0.875,12.851738,77.535406
1000129,280,4347,80.0,3.8,35,81,116,20,14.6,12,Afternoon,0,High,Heavily Delayed,Weekday,Neutral,0.7,12.977687,77.650509
1000130,90,4729,209.0,3.8,36,28,64,7,4.19,8,Morning,0,High,Slightly Delayed,Weekday,Neutral,0.7,12.954353,77.543093
1000131,837,789,99.0,4.6,13,33,46,7,5.47,8,Morning,0,High,Slightly Delayed,Weekday,Positive,0.8999999999999999,12.905527,77.464954
1000132,816,4566,344.0,4.7,30,107,137,49,13.71,11,Afternoon,0,Jam,Heavily Delayed,Weekday,Positive,0.925,12.879966,77.699561
1000133,448,4713,349.0,4.9,34,52,86,3,11.29,21,Night,1,Medium,On Time,Weekend,Positive,0.975,12.934404,77.543099
1000134,464,4472,129.0,4.7,20,82,102,21,14.61,8,Morning,0,High,Heavily Delayed,Weekday,Positive,0.925,13.085727,77.468932
1000135,187,4696,220.0,3.9,40,106,146,49,13.5,18,Evening,0,Jam,Heavily Delayed,Weekday,Neutral,0.725,12.930801,77.472436
1000136,453,2807,259.0,4.3,26,22,48,2,4.01,18,Evening,0,Low,On Time,Weekday,Positive,0.825,12.979698,77.525528
1000137,211,4050,525.0,5.0,16,64,80,14,11.64,19,Evening,1,High,Slightly Delayed,Weekday,Positive,1.0,13.025755,77.503405
1000138,390,4979,525.0,5.0,36,14,50,3,1.68,16,Evening,0,High,On Time,Weekend,Positive,1.0,12.940907,77.68229
1000139,453,75,339.0,3.8,22,56,78,3,12.45,11,Afternoon,0,Medium,On Time,Weekend,Neutral,0.7,13.092946,77.546505
1000140,346,2807,199.0,4.3,40,53,93,12,9.42,16,Evening,0,High,Slightly Delayed,Weekday,Positive,0.825,13.090612,77.691409
1000141,191,4757,279.0,4.7,13,77,90,16,14.39,8,Morning,0,High,Heavily Delayed,Weekday,Positive,0.925,12.912946,77.502154
1000142,688,4936,297.0,4.7,18,79,97,18,14.44,8,Morning,0,High,Heavily Delayed,Weekday,Positive,0.925,12.974312,77.597864
1000143,508,4757,345.0,3.8,39,10,49,-1,1.71,18,Evening,0,Low,On Time,Weekday,Neutral,0.7,12.92522,77.656411
1000144,338,3804,152.0,4.3,33,10,43,-7,3.25,15,Afternoon,0,Low,Early,Weekday,Positive,0.825,12.92121,77.645597
1000145,586,4257,65.0,4.2,13,37,50,2,7.78,10,Morning,0,Medium,On Time,Weekday,Positive,0.8,12.859222,77.630339
1000146,571,4512,379.0,4.5,12,103,115,47,13.31,23,Night,0,Jam,Heavily Delayed,Weekday,Positive,0.875,13.002391,77.727446
1000147,830,4676,355.0,4.2,38,95,133,42,12.4,17,Evening,0,Jam,Heavily Delayed,Weekday,Positive,0.8,12.97567,77.518558
1000148,147,3945,150.0,3.7,30,81,111,20,14.5,19,Evening,1,High,Heavily Delayed,Weekday,Neutral,0.675,12.86287,77.598116
1000149,474,3925,182.0,4.6,21,43,64,1,9.65,21,Night,1,Medium,On Time,Weekend,Positive,0.8999999999999999,12.919662,77.715198
1000150,585,4675,390.0,4.7,27,24,51,2,4.59,12,Afternoon,0,Medium,On Time,Weekday,Positive,0.925,13.077066,77.473368
1000151,272,4698,240.0,3.1,14,24,38,14,1.35,11,Afternoon,0,Medium,Slightly Delayed,Weekday,Neutral,0.525,12.90989,77.466766
1000152,868,4959,304.2,4.0,32,17,49,-4,4.12,15,Afternoon,0,Low,On Time,Weekend,Positive,0.75,12.886224,77.519991
1000153,569,4431,128.5,4.4,26,45,71,0,10.45,19,Evening,1,Medium,On Time,Weekend,Positive,0.8500000000000001,12.972363,77.639906
1000154,157,3730,120.0,4.3,40,108,148,49,13.97,15,Afternoon,0,Jam,Heavily Delayed,Weekday,Positive,0.825,13.096413,77.527964
1000155,4,4959,243.1,4.6,21,34,55,8,5.49,10,Morning,0,High,Slightly Delayed,Weekend,Positive,0.8999999999999999,12.910514,77.507072
1000156,315,4709,1100.0,3.3,31,111,142,55,13.26,22,Night,0,Jam,Heavily Delayed,Weekday,Neutral,0.575,13.018034,77.587641
1000157,528,1659,199.0,4.7,14,41,55,11,6.53,23,Night,0,High,Slightly Delayed,Weekday,Positive,0.925,13.040405,77.634079
1000158,650,985,90.0,3.8,29,21,50,-4,5.32,16,Evening,0,Medium,On Time,Weekday,Neutral,0.7,12.909409,77.524567
1000159,573,4757,1669.0,4.3,25,48,73,12,8.12,13,Afternoon,1,High,Slightly Delayed,Weekday,Positive,0.825,13.032054,77.540207
1000160,396,2624,189.0,4.6,19,32,51,-1,7.19,11,Afternoon,0,Medium,On Time,Weekday,Positive,0.8999999999999999,12.941946,77.634068
1000161,847,4946,46.0,5.0,21,57,78,-1,13.79,11,Afternoon,0,Medium,On Time,Weekend,Positive,1.0,13.008076,77.733722
1000162,389,4778,109.0,4.5,15,44,59,10,7.56,15,Afternoon,0,High,Slightly Delayed,Weekday,Positive,0.875,13.008382,77.652423
1000163,60,3725,269.0,4.4,32,28,60,4,4.88,11,Afternoon,0,High,On Time,Weekend,Positive,0.8500000000000001,12.983944,77.684871
1000164,993,4848,345.0,4.3,34,100,134,46,12.8,9,Morning,0,Jam,Heavily Delayed,Weekday,Positive,0.825,12.872572,77.560043
1000165,973,4767,105.0,5.0,30,82,112,19,14.98,10,Morning,0,High,Heavily Delayed,Weekend,Positive,1.0,13.058826,77.531676
1000166,742,4514,229.0,4.2,28,55,83,11,10.07,22,Night,0,High,Slightly Delayed,Weekend,Positive,0.8,12.930195,77.58628
1000167,294,2746,94.5,4.7,43,17,60,-5,4.51,23,Night,0,Low,On Time,Weekday,Positive,0.925,12.89663,77.69214
1000168,427,4351,349.0,4.6,29,16,45,-5,4.34,22,Night,0,Low,On Time,Weekday,Positive,0.8999999999999999,12.860194,77.58689
1000169,471,4757,79.0,4.3,12,14,26,2,1.81,18,Evening,0,High,On Time,Weekday,Positive,0.825,12.997723,77.704018
1000170,109,3804,226.0,4.5,16,10,26,-3,2.08,17,Evening,0,Medium,On Time,Weekend,Positive,0.875,13.019391,77.746632
1000171,451,4936,297.0,3.9,12,110,122,52,13.81,23,Night,0,Jam,Heavily Delayed,Weekday,Neutral,0.725,12.854147,77.471608
1000172,897,2624,259.0,5.0,13,18,31,4,2.35,17,Evening,0,Medium,On Time,Weekday,Positive,1.0,12.978023,77.463623
1000173,511,1235,169.0,4.4,43,44,87,9,7.78,14,Afternoon,1,High,Slightly Delayed,Weekend,Positive,0.8500000000000001,12.906624,77.494877
1000174,222,4964,450.0,4.9,15,60,75,13,10.77,9,Morning,0,High,Slightly Delayed,Weekday,Positive,0.975,13.011293,77.565311
1000175,51,1359,309.0,4.2,30,71,101,16,12.9,21,Night,1,High,Heavily Delayed,Weekend,Positive,0.8,12.893592,77.489313
1000176,387,4698,280.0,4.1,13,13,26,-5,3.4,9,Morning,0,Low,On Time,Weekday,Positive,0.7749999999999999,13.022734,77.711199
1000177,334,4811,299.0,3.4,21,49,70,17,7.13,21,Night,1,High,Heavily Delayed,Weekday,Neutral,0.6,12.946684,77.456944
1000178,703,2624,179.0,4.1,30,19,49,-3,4.52,18,Evening,0,Low,On Time,Weekday,Positive,0.7749999999999999,13.084182,77.544738
1000179,94,3255,139.0,3.6,43,31,74,9,4.58,9,Morning,0,High,Slightly Delayed,Weekday,Neutral,0.65,12.88438,77.505408
1000180,827,4713,249.0,4.5,16,32,48,7,5.25,18,Evening,0,High,Slightly Delayed,Weekday,Positive,0.875,12.935267,77.729462
1000181,909,4882,93.75,4.3,30,54,84,14,9.22,16,Evening,0,High,Slightly Delayed,Weekend,Positive,0.825,12.878368,77.650844
1000182,295,3056,258.0,4.3,34,10,44,1,1.23,19,Evening,1,Low,On Time,Weekday,Positive,0.825,13.081173,77.723609
1000183,48,3215,130.0,4.9,15,30,45,-1,6.72,12,Afternoon,0,Medium,On Time,Weekday,Positive,0.975,13.069335,77.741699
1000184,669,3756,210.0,4.3,36,13,49,-6,3.62,23,Night,0,Low,Early,Weekend,Positive,0.825,12.914485,77.599129
1000185,826,3340,180.0,3.7,44,114,158,53,14.54,18,Evening,0,Jam,Heavily Delayed,Weekend,Neutral,0.675,13.014996,77.520296
1000186,417,75,287.38,4.5,10,53,63,13,9.16,18,Evening,0,High,Slightly Delayed,Weekday,Positive,0.875,13.054306,77.508119
1000187,297,3323,22.85,4.6,26,56,82,0,13.15,21,Night,1,Medium,On Time,Weekday,Positive,0.8999999999999999,12.9888,77.516876
1000188,605,3056,938.62,3.4,14,31,45,12,3.74,12,Afternoon,0,Low,Slightly Delayed,Weekday,Neutral,0.6,12.982413,77.662578
1000189,513,3868,199.0,4.2,41,100,141,47,12.34,8,Morning,0,Jam,Heavily Delayed,Weekend,Positive,0.8,12.910463,77.462134
1000190,52,4205,115.0,4.9,27,30,57,-1,6.81,8,Morning,0,Medium,On Time,Weekday,Positive,0.975,12.873276,77.465408
1000191,303,1713,95.0,4.4,44,20,64,2,3.49,19,Evening,1,High,On Time,Weekday,Positive,0.8500000000000001,13.074304,77.632443
